Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.D1,"urn:cite:hmt:vaimg.VA156RN-0327@0.1652,0.0887,0.6166,0.0488",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msA.hmt:12.D2,"urn:cite:hmt:vaimg.VA156RN-0327@0.6286,0.3944,0.1602,0.0744",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msA.hmt:12.D3,"urn:cite:hmt:vaimg.VA156RN-0327@0.6236,0.4666,0.1632,0.0481",urn:cite:hmt:msA.156r
urn:cts:greekLit:tlg5026.msA.hmt:12.D4,"urn:cite:hmt:vaimg.VA156RN-0327@0.6176,0.5139,0.1682,0.1638",urn:cite:hmt:msA.156r
